GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
planifest,com.example.planifest.service.importstrategy,TaskImportStrategy,502,31,52,0,114,8,32,2,6,2
planifest,com.example.planifest.service.importstrategy,ClientImportStrategy,460,6,60,0,103,3,38,1,8,1
planifest,com.example.planifest.service.importstrategy,UserImportStrategy,170,6,16,0,42,3,11,1,3,1
planifest,com.example.planifest.service.importstrategy,ImportStrategyFactory,42,18,10,0,6,7,6,1,1,1
planifest,com.example.planifest.service.importstrategy,EventImportStrategy,293,11,32,0,65,4,22,1,6,1
planifest,com.example.planifest.service.importstrategy,SupplyImportStrategy,348,6,36,0,77,3,22,1,4,1
planifest,com.example.planifest.service.importstrategy,ImportStrategy,12,0,2,0,4,0,2,0,1,0
planifest,com.example.planifest.Exceptions,SupplyDeletionException,4,0,0,0,2,0,1,0,1,0
planifest,com.example.planifest.entity,StockMovement,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,Position,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,User,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,Client,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,AudiLog,0,7,0,0,0,3,0,2,0,2
planifest,com.example.planifest.entity,Task,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,PlaniService,0,3,0,0,0,1,0,1,0,1
planifest,com.example.planifest.entity,EventSupply,12,0,0,0,5,0,1,0,1,0
planifest,com.example.planifest.entity,Supply,0,8,0,0,0,2,0,1,0,1
planifest,com.example.planifest.entity,Event,0,8,0,0,0,2,0,1,0,1
planifest,com.example.planifest.enums,Role,0,21,0,0,0,4,0,1,0,1
planifest,com.example.planifest.enums,SupplyStatus,0,15,0,0,0,3,0,1,0,1
planifest,com.example.planifest.enums,EventStatus,0,15,0,0,0,3,0,1,0,1
planifest,com.example.planifest.enums,TaskStatus,0,21,0,0,0,4,0,1,0,1
